gene,genename,pred.perf.R2,n.snps.in.model,pred.perf.pval,cor,pred.perf.qval
ENSRNOG00000008334,Crocc,0.506396750213038,4,2.37849101898199e-36,0.711615591603387,2.15352055863937e-35
ENSRNOG00000017097,Lhpp,0.506308647402995,2,2.42693710121578e-36,0.7115536855382,2.18544204386133e-35
ENSRNOG00000005257,Prkaca,0.505909986067008,4,2.65866868696347e-36,0.711273495968329,2.38117376042808e-35
ENSRNOG00000010650,Plekhh1,0.505697444578455,2,2.79104329157093e-36,0.711124071156683,2.4862925267391e-35
ENSRNOG00000025832,Zer1,0.503368000485073,2,4.74743892143979e-36,0.709484320112202,4.20645624127474e-35
ENSRNOG00000017468,Trappc6a,0.503236435440074,4,4.89166482348997e-36,0.709391595270252,4.30346124739605e-35
ENSRNOG00000021338,Tmem132a,0.503221002324883,2,4.90886518199948e-36,0.709380717474674,4.30346124739605e-35
ENSRNOG00000025344,Enthd1,0.502875283771315,5,5.31027869323737e-36,0.70913699929655,4.63086701245459e-35
ENSRNOG00000006131,Mettl2,0.500465360155861,5,9.17109120790513e-36,0.707435763978512,7.9558436796554e-35
ENSRNOG00000042445,AC130970.1,0.500273023705682,3,9.57880493174751e-36,0.707299811752896,8.26625305819128e-35
ENSRNOG00000008099,Galnt12,0.499735493827243,2,1.08159982359369e-35,0.706919722335742,9.28555559807826e-35
ENSRNOG00000042389,Bcl10,0.499495577673887,4,1.14181246248682e-35,0.706750010734975,9.75195401914313e-35
ENSRNOG00000020358,Ptov1,0.499330842366304,2,1.18506894739853e-35,0.706633456868767,1.00694929682401e-34
ENSRNOG00000019464,Ttc9c,0.497595613237933,4,1.75197207054322e-35,0.705404574154387,1.48104994069309e-34
ENSRNOG00000034126,Pcdhga2,0.497245512726761,1,1.89544983914257e-35,0.705156374662217,1.59420683069251e-34
ENSRNOG00000008118,Sync,0.497171693824824,3,1.92715761731947e-35,0.705104030498213,1.61268906672593e-34
ENSRNOG00000019914,Tlcd3b,0.497042228257107,3,1.98404227400412e-35,0.705012218516181,1.65194826055444e-34
ENSRNOG00000022141,Ctdspl2,0.495809455609687,1,2.61630155518191e-35,0.704137384044966,2.16748649234873e-34
ENSRNOG00000018076,Fmo5,0.495639555463508,6,2.71782929141008e-35,0.704016729533828,2.24039561242719e-34
ENSRNOG00000027290,Pcdhga7,0.493671663283354,2,4.22019616229947e-35,0.702617722010593,3.46162377280471e-34
ENSRNOG00000025899,Thada,0.493134761597338,2,4.75713696397336e-35,0.702235545666365,3.88282854329228e-34
ENSRNOG00000001057,Ctxn1,0.492574351177895,2,5.38986520480836e-35,0.70183641340265,4.37770338845343e-34
ENSRNOG00000012799,Prkaa1,0.492374192231003,3,5.63551196878713e-35,0.701693802331902,4.5548922874838e-34
ENSRNOG00000004337,Fam20b,0.49134536009177,6,7.08439515112339e-35,0.700960312779383,5.69815361017335e-34
ENSRNOG00000014078,Ndufb8,0.490825099429003,2,7.95199647501148e-35,0.700589108842696,6.36508824977471e-34
ENSRNOG00000016774,Telo2,0.48965411391473,6,1.03090637911595e-34,0.69975289489557,8.21210489340862e-34
ENSRNOG00000019832,Bbs1,0.489312232531745,3,1.1119554597946e-34,0.699508565016716,8.81535287171075e-34
ENSRNOG00000010386,H2ax,0.488896896776344,3,1.21895612610264e-34,0.699211625172483,9.61761472524253e-34
ENSRNOG00000007686,Septin3,0.486897938924299,4,1.89485807546804e-34,0.697780724099125,1.48796538295912e-33
ENSRNOG00000014461,Galns,0.486638615958295,3,2.00621326198514e-34,0.697594879538472,1.56797752022119e-33
ENSRNOG00000001214,Pfkl,0.483859459717968,4,3.69305577479096e-34,0.695600071677661,2.8727964748364e-33
ENSRNOG00000027960,AC094055.1,0.482288680823728,3,5.20648117966153e-34,0.694470071942433,4.03115154831558e-33
ENSRNOG00000006604,Thy1,0.482093869692755,2,5.4326531562486e-34,0.694329798937619,4.17487969404038e-33
ENSRNOG00000019138,Clec11a,0.482085564709945,2,5.44250855391927e-34,0.694323818336909,4.17487969404038e-33
ENSRNOG00000018042,Mrpl48,0.481536168113996,2,6.1353998638637e-34,0.693928071282605,4.68469945869325e-33
ENSRNOG00000003990,Grb2,0.479280449657088,4,1.00219848761772e-33,0.692300837538918,7.61720853538855e-33
ENSRNOG00000007713,Tmcc3,0.477062907541752,3,1.62020003383883e-33,0.690697406641832,1.22580988166995e-32
ENSRNOG00000012658,Pdlim3,0.475824798257945,2,2.11671718843609e-33,0.68980054962137,1.59418512155784e-32
ENSRNOG00000042607,Rhof,0.475287998673894,3,2.37636283868093e-33,0.689411342141899,1.7816363899144e-32
ENSRNOG00000022896,Rrp7a,0.475137430287695,2,2.45469958549923e-33,0.689302132803675,1.83207804698932e-32
ENSRNOG00000042932,Ttc27,0.474537664877115,2,2.7929710032414e-33,0.688866942796005,2.07520096058402e-32
ENSRNOG00000031065,AC120486.2,0.474500188001007,6,2.81557945327517e-33,0.688839740433874,2.08265994695469e-32
ENSRNOG00000000513,Mapk14,0.474257187649654,7,2.96663857125882e-33,0.688663334038959,2.18464420362096e-32
ENSRNOG00000010319,Lcp1,0.473295969810992,2,3.64706213948476e-33,0.68796509345387,2.67382709461168e-32
ENSRNOG00000023972,Col4a2,0.473165622589649,2,3.75052152495017e-33,0.687870353038746,2.73756475623795e-32
ENSRNOG00000018648,Mppe1,0.472270617623757,3,4.5438795558995e-33,0.687219482861012,3.30210257620736e-32
ENSRNOG00000042426,Cyp4v3,0.470803868263674,2,6.2186462898885e-33,0.686151490753809,4.4994452220488e-32
ENSRNOG00000017679,Cckbr,0.468951361695976,5,9.23146521793423e-33,0.68480023488312,6.65030245855498e-32
ENSRNOG00000005358,Pmm1,0.468737088330484,7,9.66224176268481e-33,0.684643767466326,6.93049917247771e-32
ENSRNOG00000030628,Eif4a1,0.467757670942431,6,1.18990952004182e-32,0.683928118256905,8.49815308645807e-32
ENSRNOG00000054031,LOC102549726,0.466776434748606,10,1.46538902647955e-32,0.68321038834945,1.04206692081034e-31
ENSRNOG00000009199,Accs,0.465289341962983,2,2.00771712530574e-32,0.682121207677186,1.42162568683319e-31
ENSRNOG00000019825,Zdhhc24,0.463618683640451,4,2.85682918605127e-32,0.68089550126319,2.01425758513373e-31
ENSRNOG00000032381,Naglu,0.461011647677552,3,4.94289725466175e-32,0.678978385280085,3.47030923607723e-31
ENSRNOG00000012295,Pla2g6,0.460494219574986,3,5.50937243929452e-32,0.678597244007803,3.85169936583191e-31
